B&B	Brandy or cognac	N	Brandy	Straight up; without ice or on the rocks	 Brandy snifter	1 oz Benedictine, 1 oz brandy	Pour the Benedictine into a brandy snifter. Use the back of a bar spoon to gently float the brandy on top.	B&B stands for Brandy & Benedictine. It is one of the icons of fine drinking and is a true classic cocktail. Often, a B&B is served on the rocks, although some prefer it straight up and other prefer it slightly warmer (prep your snifter with warm water, dumping it before adding the spirits). It is almost always served in a brandy snifter and this also makes an ideal after dinner drink or nightcap.	http://cdn3.foodviva.com/static-content/food-images/cocktail-recipes/b-b-benedictine-brandy-cocktail/b-b-benedictine-brandy-cocktail.jpg	6
Bloody Mary	Vodka	Y	Vodka	On the rocks; poured over ice	Highball Glass	45ml (3 parts) Vodka, 90ml (6 parts) Tomato juice, 15ml (1 part) Lemon juice	Add dashes of Worcestershire Sauce, Tabasco, salt and pepper into highball glass, then pour all ingredients into highball with ice cubes. Stir gently. Garnish with celery stalk and lemon wedge (optional).	A Bloody Mary is a popular cocktail containing vodka, tomato juice, and usually other spices or flavorings such as Worcestershire sauce, Tabasco sauce, piri piri sauce, beef consommé or bouillon, horseradish, celery, olive, salt, black pepper, cayenne pepper, lemon juice, and celery salt. It has been called "the world's most complex cocktail."	http://ei.isnooth.com/multimedia/2/0/3/image_2579854.jpeg	10
Bull Shot	Vodka	Y	Vodka	On the rocks; poured over ice	Highball Glass	1 1/2 oz vodka, 3 oz chilled beef bouillon, dash of Worchestershire, Tabasco, salt and pepper to taste, celery salt (optional)	Pour the ingredients into a cocktail shaker filled with ice. Shake well. Strain into a highball glass filled with ice.	The Bull Shot is a drink for acquired tastes, one that you will either love or hate. Personally I can't get into this one, but some people swear by it. There is a lot of beef bouillon in the Bull Shot and you can use your sauces and spices to adapt it to your personal taste. Amazingly enough some people will also serve this drink warm, sort of like sipping on a mug of spiked soup.	http://www.bonappetit.com/wp-content/uploads/2008/04/mare_bull_shot_v.jpg	3
Harvey Wallbanger	Vodka	Y	Vodka	On the rocks; poured over ice	Highball Glass	45 mL (3 parts) Vodka, 15 mL (1 part) Galliano, 90 mL (6 parts) fresh orange juice	Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.	The Harvey Wallbanger is a cocktail made with vodka, Galliano, and orange juice.	http://3.bp.blogspot.com/-YJ5K4CJRCK0/UaNezxzHodI/AAAAAAAAIzg/XKQdQkJQGa4/s1600/Harvey%2Bwallbanger.jpg	18
Salty Dog	Vodka	Y	Vodka	Straight up; without ice	Highball Glass	40ml vodka or gin, 100ml grapefruit juice	Shake vodka and grapefruit juice in cocktail shaker. Strain into a salt-rimmed highball glass.	A Salty Dog is a cocktail of vodka and grapefruit juice, served in a highball glass with a salted rim. The salt is the only difference between a Salty Dog and a Greyhound. Gin may be used as a substitute for vodka.	http://media1.onsugar.com/files/2012/02/08/3/192/1922195/5dfc90c14c486486_Salty-Dog.preview.jpg	14
Screwdriver	Vodka	Y	Vodka	On the rocks; poured over ice	Highball Glass	50 mL (1 part) vodka, 100 mL (2 parts) orange juice	Mix in a highball glass with ice. Garnish and serve.	A screwdriver is a popular alcoholic highball drink made with orange juice and vodka. While the basic drink is simply the two ingredients, there are many variations; the most common one is made with one part vodka, one part of any kind of orange soda, and one part of orange juice. Many of the variations have different names in different parts of the world. The International Bartender Association has designated this cocktail as an IBA Official Cocktail.	http://liquor.s3.amazonaws.com/wp-content/uploads/2012/04/screwdriver.jpg	24
Sea Breeze	Vodka	Y	Vodka	On the rocks; poured over ice	Highball Glass	40 ml Vodka, 120 ml Cranberry juice, 30 ml Grapefruit juice	Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.	A Sea Breeze is a cocktail containing vodka with cranberry juice and grapefruit juice. The cocktail is usually consumed during summer months. The drink may be shaken in order to create a foamy surface. It is considered an IBA Official Cocktail. The drink follows the classic cocktail principle of balancing strong (alcohol) with weak (fruit juice) and sweet and sour.	http://ruhlman.com/wp-content/uploads/2013/06/sea-breeze.jpeg	29
Sex on the Beach	Vodka	Y	Vodka	On the rocks; poured over ice	Highball Glass	2 parts (40ml) Vodka, 1 parts (20ml) Peach schnapps, 2 parts (40ml) Orange juice, 2 parts (40ml) Cranberry juice	Build all ingredients in a highball glass filled with ice. Garnish with orange slice.	One of the most popular cocktails, a Sex on the Beach is a delicious fruity drink that almost anyone will like. It's a great tropical highball that is wonderful on hot summer nights or afternoons at the beach.	http://beersandbeans.com/wp-content/uploads/sex-on-the-beach-.jpg	39
Brass Monkey	Beer	N	Beer	On the rocks; poured over ice	Highball Glass	beer, orange juice	Pour beer and orange juice together	A beer cocktail consisting of a half-empty bottle of malt liquor (traditionally Olde English), to which orange juice is added until full.	http://www.stepbystep.com/wp-content/uploads/2012/05/brass-monkey-cocktail-400x318.jpg	0
Brandy Sour (Cyprus)	Brandy or cognac	N	Brandy	On the rocks; poured over ice	Highball Glass	5 cl (two parts) Cyprus brandy, 2.5 cl (one part) lemon squash, 2-4 drops of bitters, Top with carbonated water	Stir into glass over ice, garnish and serve.	The Brandy Sour is a mixed alcoholic cocktail that has been cited as the national drink of Cyprus. While other forms of the Brandy Sour cocktail exist, the Cypriot variety is a distinct mixture, which only shares the basic brandy and lemon flavourings with other variants. Both brandy and lemons are among Cyprus's major exports, and both have distinctive Cypriot characteristics.	http://2.bp.blogspot.com/-DhaAB2ckZEI/T-LVqOTMGiI/AAAAAAAANAA/PNczeWdOKs8/s1600/Brandy%2BSour.jpg	2
x (Rum)	Rum	N	Rum	On the rocks; poured over ice	Highball Glass	One part dark rum, One part vodka, One part orange juice	Stir together and serve over ice.	Brass Monkey is a name given to a number of different cocktail recipes. As with many lesser-known cocktails that are named after colloquial expressions, there are widely differing recipes that share the same name.	http://www.stepbystep.com/wp-content/uploads/2012/05/brass-monkey-cocktail-400x318.jpg	4
Singapore Sling	Brandy or cognac	Y	Brandy, Gin	Straight up; without ice	Hurricane Glass	40ml (8 parts) Gin, 20ml (4 parts) Heering Cherry Liqueur (cherry brandy), 5ml (1 part) Cointreau, 5ml (1 part) DOM Bénédictine, 10ml (2 parts) Grenadine, 80ml (16 parts) Pineapple juice, 30ml (6 parts) Fresh lemon juice, 1 dash Angostura bitters	Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into hurricane glass. Garnish with pineapple and maraschino cherry.	The Singapore Sling is a South-East Asian cocktail. This long drink was developed sometime before 1915 by Ngiam Tong Boon, a Hainanese bartender working at the Long Bar in Raffles Hotel Singapore. It was initially called the gin sling, - a sling was originally an American drink composed of spirit and water, sweetened and flavoured.	http://images.askmen.com/fine_living/drinks_500/510_singapore-sling-recipes-1058322-flash.jpg	8
Irish Coffee	Whiskey	Y	Whiskey	Hot	Irish Coffee Glass	40ml (2 parts) Irish whiskey, 80ml (4 parts) hot coffee, 30ml (1½ parts) fresh cream, 1tsp brown sugar	Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.	Irish coffee is a cocktail consisting of hot coffee, Irish whiskey, and sugar (some recipes specify that brown sugar should be used), stirred, and topped with thick cream. The coffee is drunk through the cream. The original recipe explicitly uses cream that has not been whipped, although drinks made with whipped cream are often sold as "Irish coffee".	http://silk.com/sites/default/files/recipes/medium/IrishCoffee_DT.jpg	39
Margarita	Tequila	Y	Tequila	On the rocks; poured over ice	Margarita Glass	35 mL (7 parts) tequila, 20 mL (4 parts) Cointreau, 15 mL (3 parts) lime juice	Rub the rim of the glass with the lime slice to make the salt stick to it. Shake the other ingredients with ice, then carefully pour into the glass (taking care not to dislodge any salt). Garnish and serve over ice.	The margarita is a Mexican cocktail consisting of tequila mixed with Cointreau or similar orange-flavoured liqueur and lime or lemon juice, often served with salt on the glass rim. It is the most common tequila-based cocktail in the United States. The drink is served shaken with ice (on the rocks), blended with ice (frozen margarita), or without ice (straight up).	http://pixelatedcrumb.com/wp-content/uploads/2012/05/Fresh_Margarita-1.jpg	51
Sazerac	Absinthe	Y	Whiskey	Straight up; without ice	Old Fashioned Glass	2 ounces Rye whiskey, 3 dashes Peychaud's Bitters, One sugar cube or 1 tsp simple syrup, Splash of absinthe or Herbsaint	One old fashioned or rocks glass is packed with ice and water to chill the glass. In a second old fashioned glass, muddle the sugar cube or simple syrup with the bitters. Add the rye to this mixture. Stir to combine. Empty the ice from the first glass. Pour the absinthe or Herbsaint into the glass and swirl to coat the sides of the glass. Any excess absinthe or Herbsaint is discarded. Pour the rye/sugar/bitters mixture into the coated glass. Twist a lemon peel over the glass and rub the rim of the glass with the peel. The peel can be discarded or placed into the cocktail.	The Sazerac is a local New Orleans variation of an old-fashioned cognac or whiskey cocktail, named for the Sazerac de Forge et Fils brand of cognac that was its original prime ingredient. The drink is some combination of cognac or rye whiskey, absinthe or Herbsaint, and Peychaud's Bitters; it is distinguished by its preparation method. It is sometimes referred to as the oldest known American cocktail, with origins in pre–Civil War New Orleans, though there are much earlier published instances of the word cocktail.	http://latimesblogs.latimes.com/.a/6a00d8341c630a53ef0120a529ec8c970c-800wi	6
French Connection   	Brandy or cognac	Y	Cognac, Amaretto	On the rocks; poured over ice	Old Fashioned Glass	3.5cl (1 part) Cognac, 3.5cl (1 part) Disaronno liqueur	Pour ingredients into a Snifter with ice cubes. Stir gently.	The French Connection is a relatively simple, somewhat common mixed drink that makes a stunning after dinner drink or nightcap. The Cognac adds warmth to the chilled drink and the flavor mixes nicely with a quality amaretto liqueur. Drinks as simple as this depend more on high-end spirits than those with more mixers, so do yourself a favor and choose a nice Cognac (VSOP , XO or older) and amaretto (ie. Di Saronno, Gozio).	http://liquor.s3.amazonaws.com/wp-content/uploads/2013/01/fa-french_connection.jpg	5
Pisco Sour	Brandy or cognac	Y	Pisco	Straight up; without ice	Old Fashioned Glass	2 fl oz (8 parts) Pisco, 1 fl oz (4 parts) Key lime or lemon juice, 3/4 fl oz (3 part) Simple syrup, 1 Egg white	Shake hard or blend with ice and strain into glass. The bitters are an aromatic garnish topping the finished drink, put on top of Pisco Sour foam.	A Pisco Sour is a cocktail typical of South American cuisine. The drink's name comes from pisco, which is its base liquor, and the cocktail term sour, in reference to sour citrus juice and sweetener components. The Peruvian Pisco Sour uses Peruvian pisco as the base liquor and adds Key lime (or lemon) juice, syrup, ice, egg white, and Angostura bitters. The Chilean version is similar, but uses Chilean pisco and Pica lime, and excludes the bitters and egg white. Other variants of the cocktail include those created with fruits like pineapple or plants such as coca leaves.	http://rischmoller.files.wordpress.com/2012/02/pisco_sour.jpg	18
Caipirinha   	Cachaça	Y	Cachaça	On the rocks; poured over ice	Old Fashioned Glass	50 ml (1⅔ fl oz) cachaça, ½ Lime cut into 4 wedges (or tahiti lime, but not green lemon), 2 teaspoons brown sugar	Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.	Caipirinha is Brazil's national cocktail, made with cachaça (sugar cane hard liquor), sugar and lime. Cachaça is Brazil's most common distilled alcoholic beverage (also known as Pinga or Caninha). Both rum and cachaça are made from sugarcane-derived products. Specifically with cachaça, the alcohol results from the fermentation of sugarcane juice that is afterwards distilled.	http://cigarbrief.com/wp-content/uploads/2011/07/caipirinha2.jpg	24
Negroni	Gin	Y	Gin, Vermouth, Campari	On the rocks; poured over ice	Old Fashioned Glass	30ml (1 part) gin, 30ml (1 part) sweet red vermouth, 30ml (1 part) campari	Stir into glass over ice, garnish and serve.	The Negroni cocktail is made of one part gin, one part vermouth rosso (red, semi-sweet), and one part bitters, traditionally Campari. It is considered an apéritif.	http://com_shakestir.s3.amazonaws.com/Article/MainImages/golden-ratios-the-negroni.jpg	10
Black Russian	Vodka	Y	Vodka	On the rocks; poured over ice	Old Fashioned Glass	50ml (5 parts) Vodka, 20ml (2 parts) Coffee liqueur	Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.	The Black Russian is a cocktail of vodka and coffee liqueur. It contains either three parts vodka and two parts coffee liqueur, per the Kahlúa bottle's label, or five parts vodka to two parts coffee liqueur, per IBA specified ingredients. Traditionally the drink is made by pouring the vodka over ice cubes or cracked ice in an old-fashioned glass, followed by the coffee liqueur.	http://blogfactory.it/ricette-cocktail/files/2010/10/Black_Russian.jpg	13
Godmother	Vodka	Y	Vodka, Amaretto	On the rocks; poured over ice	Old Fashioned Glass	1 1/2 oz Vodka, 1/2 oz Amaretto	Build the ingredients in an old-fashioned glass with ice cubes.	The Godmother (or Tawny Russian) is the softer variation of the Godfather. Lose the Scotch and add vodka for this more lady-like lowball on the rocks.	http://vodkaonly.com/wp-content/uploads/2011/09/godmother.jpg	5
White Russian	Vodka	Y	Vodka, Coffee liqueur	On the rocks; poured over ice	Old Fashioned Glass	50 ml (5 parts) Vodka, 20 ml (2 parts) Coffee liqueur, 30 ml (3 parts) fresh cream	Pour coffee liqueur and vodka into an Old Fashioned glass filled with ice. Float fresh cream on top and stir slowly.	A White Russian is a sweet cocktail classically made with vodka, coffee liqueur (e.g., Kahlúa or Tia Maria), and cream served with ice in an Old Fashioned glass.	http://www.esquire.com/cm/esquire/images/j7/esq-dude-cocktail-040912-xlg.jpg	61
Old Fashioned	Whiskey	Y	Whiskey	On the rocks; poured over ice	Old Fashioned Glass	4.5 cl Bourbon or Rye whiskey, 2 dashes Angostura bitters, 1 sugar cube, Few dashes plain water	Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange slice, and a cocktail cherry.	The Old Fashioned is an IBA Official Cocktail made by muddling sugar with bitters then adding alcohol, such as whiskey or brandy, and a twist of citrus rind. It is traditionally served in a short, round, 8–12 US fl oz (240–350 ml) tumbler-like glass, which is called an Old Fashioned glass, named after the drink.	http://cravedfw.files.wordpress.com/2013/07/old-fashioned.jpg	6
Americano	Bitters	Y	Vermouth, Campari	On the rocks; poured over ice	Old Fashioned Glass	30ml Campari, 30ml red vermouth, A splash of soda water	Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.	The Americano is an IBA Official Cocktail composed of Campari, sweet vermouth, and club soda. The cocktail was first served in creator Gaspare Campari's bar, Caffè Campari, in the 1860s. It was originally known as the "Milano-Torino" because of its ingredients: Campari, the bitter liqueur, is from Milan (Milano) and Cinzano, the vermouth, is from Turin (Torino). It is popular belief that in the early 1900s, the Italians noticed a surge of Americans who enjoyed the cocktail. As a compliment to the Americans, the cocktail later became known as the "Americano". A more unlikely explanation is that the name was derived from the word "amaro", which means "bitter" in Italian.	http://blog.purentonline.com/wp-content/uploads/2012/04/americano-cocktail.jpg	26
Godfather	Nut-flavored liqueurs	Y	liqueurs	on the rocks	Old Fashioned Glass	35 ml (2 parts) scotch whisky, 35 ml (2 parts) amaretto	pour into an old fashioned glass	The Godfather is a cocktail made of even parts scotch whisky and amaretto. Typically, the drink is served on the rocks in an old fashioned glass.	http://natzestacio.files.wordpress.com/2011/01/picture-1352.jpg	7
Chicago Cocktail	Brandy or cognac	N	Brandy	On the rocks; poured over ice	Old Fashioned Glass	Brandy, Triple sec, Bitters, Champagne	Shake or stir with ice.	The Chicago Cocktail is a brandy-based mixed drink probably named for the city of Chicago, Illinois. It has been documented in numerous cocktail manuals dating back to the 19th century. Chicago restaurant critic John Drury included it in his 1931 guide Dining in Chicago, noting that it had been served at the American Bar in Nice and the Embassy Club in London. Whether it originated in Chicago is unknown.	http://www.giglig.com/wp-content/uploads/2011/06/chicago-fizz.jpg	5
Whiskey Sour	Whiskey	Y	Whiskey	shaken	Old Fashioned glass or cobbler	45ml (3 parts) Bourbon whiskey, 30ml (2 parts) fresh lemon juice, 15ml (1 part) Gomme syrup, dash egg white (optional)	Shake with ice. Strain into ice-filled old-fashioned glass to serve on the rocks.	The whiskey sour is a mixed drink containing whiskey (often Bourbon), lemon juice, sugar, and optionally, a dash of egg white. With the egg white, it is sometimes called a Boston Sour. It is shaken and served either straight or over ice.	http://www.drinkinginamerica.com/wp-content/uploads/2013/02/whiskey-sour.jpg	68
Brandy Manhattan	Brandy or cognac	N	Brandy	On the rocks; poured over ice or straight up; without ice	Old-Fashioned Glass or Cocktail Glass	1 tsp maraschino cherry juice, 1 maraschino cherry, 2 dashes bitters, 1/2 oz sweet vermouth, 2 oz brandy, 1 splash water	Fill rocks glass with ice. Add Cherry juice and cherry, then bitters. Add brandy, then sweet vermouth. Add water, stir. Enjoy!	Variation of the classic Mnahattan	http://reviewsmedia.drinkedin.net/original/a9/66/48/dry-brandy-manhattan-recipe-93-1359297726.jpeg	5
Black and Tan	Beer	N	Beer	Straight up; without ice	Pint glass	Pale ale or lager and stout or porter	To prepare a Black and Tan, fill a glass halfway with pale ale then add the stout. The top layer is best poured slowly over an upside-down tablespoon placed over the glass to avoid splashing and mixing the layers. A specially designed black-and-tan spoon is bent in the middle so that it can balance on the edge of the pint-glass for easier pouring. Alternatively, the stout can be poured first so that the drinks are thoroughly mixed together.	Black and Tan is a beer cocktail made from a blend of a pale beer (usually pale ale or lager) with a dark beer (usually stout or porter).	http://www.barnonedrinks.com/drinks/images/13533.jpg	2
Boilermaker	Beer	N	Beer	Straight up; without ice	Pint glass	glass of beer and a shot of whiskey	The beer is either served as a chaser or mixed with the whiskey. 	A boilermaker can refer to two types of beer cocktail. In American terminology, the drink consists of a glass of beer and a shot of whiskey. The beer is either served as a chaser or mixed with the whiskey. When the beer is served as a chaser, the drink is often called simply a shot and a beer.	http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Boilermaker.jpg/350px-Boilermaker.jpg	1
Hangman's Blood	Beer	N	Beer	Straight up; without ice	Pint glass	gin, whisky, rum, port and brandy	Into a pint glass [568 mL], doubles [i.e., 50 mL measures] of the following are poured: gin, whisky, rum, port and brandy. A small bottle of stout is added and the whole topped up with champagne	Hangman's Blood is a drink first described by Richard Hughes in his 1929 novel, A High Wind in Jamaica. According to Hughes, "Hangman's blood... is compounded of rum, gin, brandy, and porter... Innocent (merely beery) as it looks, refreshing as it tastes, it has the property of increasing rather than allaying thirst, and so once it has made a breach, soon demolishes the whole fort." 	http://www.cocktailhunter.com/wp-content/uploads/2013/01/Hangmans-Blood-2.jpg	0
Michelada	Beer	N	Beer	In a chilled, salt-rimmed glass	Pint glass	beer, tomato juice, lime juice, savory sauce	Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.	Michelada is a Mexican cerveza preparada made with beer, lime juice, and assorted sauces, spices, and peppers. It is served in a chilled, salt-rimmed glass. There are numerous variations of this beverage throughout Mexico and Latin America. Some people in Mexico believe micheladas are a good remedy for hangovers. There are different variations of Micheladas; for example in Mexico City, the most common form of a Michelada is prepared with beer, lime, salt, and particular hot sauces or chile slices. There are several other optional ingredients such as Maggi, Worcestershire sauce, Chamoy powder, serrano peppers, Camaronazo, Clamato, or slices of orange.	http://foodrepublik.com/wp-content/uploads/2010/01/Michelada.jpg	5
Piña Colada	Rum	Y	Rum	Blended with ice (frozen style)	Poco Grande glass	30 ml (one part) white rum, 30 ml (one part) coconut milk, 90 ml (3 parts) pineapple juice	Mix with crushed ice until smooth. Pour into chilled glass, garnish and serve.	The piña colada is a sweet, rum-based cocktail made with rum, cream of coconut, and pineapple juice, usually served either blended or shaken with ice. It may be garnished with a pineapple wedge, a maraschino cherry or both. The piña colada has been the official beverage of Puerto Rico since 1978.	http://whiteonricecouple.com/recipe/images/2008/10/pina-colada-cocktail-drink-recipes-5.jpg	42
B-52	Coffee liqueurs	Y	Irish cream, Kahlúa	Neat; undiluted and without ice	Shot glass	20ml (1 part) coffee liqueur (Kahlúa), 20ml (1 part) Irish Cream (Baileys Irish Cream), 20ml (1 part) Orange Cognac (Grand Marnier)	Layer ingredients into a shot glass. Serve with a stirrer.	The B-52 (also B52 or Bifi) cocktail is a layered shot composed of a coffee liqueur (Kahlúa), an Irish cream (Baileys Irish Cream), and a triple sec (Grand Marnier). When prepared properly, the ingredients separate into three distinctly visible layers (due to their relative densities).	http://theframedtable.com/wp-content/uploads/2013/11/V01_B52_0003.jpg	18
Moloko Plus	Absinthe	N	Absinthe	Straight up; without ice	Tall glass	25 ml Absinthe, 25 ml Anisette Liqueur, 50 ml Irish Cream Liqueur, 125 ml Milk, 1 tablespoon Sugar	Shake all ingredients with ice in a cocktail shaker. Strain into a chilled tall glass.	The Moloko Plus, also called Knifey Moloko is a highball cocktail drink from the book A Clockwork Orange. The book does not specify ingredients, so there are many variations, all of which use a large milk base and some have drugs, such as barbiturates added.	http://www.allcocktails.net/gallery/moloko-plus-cocktail/moloko-plus-cocktail.jpg	2
Mint Julep	Whiskey	Y	Whiskey	over crushed or shaved ice	tall glass, or julep cup	3 US fluid ounces (89 ml) Bourbon whiskey, 4 to 6 sprigs mint leaves, granulated sugar, to taste	Put mint, sugar, and a small amount of bourbon into the bottom of a mixing glass. Gently muddle the mint and sugar, then let stand for a bit to allow the muddled leaves to release their flavor. Strain and pour into a julep cup (or similar vessel), rotating to coat the sides. Fill with ice, then add the rest of the bourbon whiskey. Garnish with a lightly slapped small mint sprig.	The mint julep is a mixed alcoholic drink, or cocktail, associated with the cuisine of the Southern United States.	http://img4-2.myrecipes.timeinc.net/i/recipes/su/05/06/mint-julep-su-682571-l.jpg	52
Porchcrawler	Beer	N	Beer, Vodka	Chilled, with ice	Varies	2 cansfrozen pink lemonade, 10 bottles beer, 13 oz gin, 13 oz vodka	Combine all ingredients in a punch bowl.	A porchcrawler or porchclimb is a mixed drink made primarily of beer, vodka, gin,and a sweetening agent (for instance, lemonade concentrate). Sometimes rum or whiskey are included as well. The final product is generally a highly-alcoholic, carbonated punch with a fruity taste and a light pink or yellow color. It is typically served from a large cooler of ice and is especially popular with North American college students.	http://photo2.foodgawker.com/wp-content/uploads/2012/08/999110.jpeg	4
Curacao Punch	Brandy or cognac	N	Brandy	Varies	Varies	1/2 tablespoon (7 ml) sugar, 2 or 3 dashes fresh lemon juice, 1 ounce (1/4 gill, 3 cl) soda water, 1 ounce (1/4 gill, 3 cl) brandy, 2 ounce (1/2 gill, 6 cl) orange curacao, 1 ounce (1/4 gill, 3 cl) Jamaican rum	In a bar glass or goblet, combine the sugar, lemon juice, and soda water. Dissolve the sugar, and fill a glass with finely shaved or thoroughly crushed ice. Add the remaining ingredients.	Curacao Punch is a cocktail that comes from Harry Johnson's New and Improved Bartender's Manual (1882). Dale DeGroff, one of the most famous barmen in the world and author of The Craft of the Cocktail (Clarkson Potter, 2002), holds this to be his favorite forgotten potation.	http://www.gourmetindia.com/img/fruitmin.jpg	5
Kir	Wines	Y	Wine	Straight up; without ice	Wine glass (white)	90ml (3 ounces) (9 parts) white wine, 10ml (0.33 ounce) (1 part) crème de cassis	Add the crème de cassis to the bottom of the glass, then top up with wine.	Kir is a popular French cocktail made with a measure of crème de cassis (blackcurrant liqueur) topped up with white wine. In France it is usually drunk as an apéritif before a meal or snack. Originally the wine used was Bourgogne Aligoté, a lesser white wine of Burgundy. Nowadays, various white wines are used throughout France, according to the region and the whim of the barkeeper. Many prefer a white Chardonnay-based Burgundy, such as Chablis.	http://whygo-eur.s3.amazonaws.com/www.francetravelguide.com/files/2009/06/kir.jpg	6
Four Score	Brandy or cognac	N								
Horse's Neck   	Brandy or cognac	N								
Incredible Hulk	Brandy or cognac	N								
Nikolaschka	Brandy or cognac	N								
Orgasm	Brandy or cognac	N								
Panama	Brandy or cognac	N								
Piscola	Brandy or cognac	N								
Porto flip	Brandy or cognac	N								
Savoy Affair	Brandy or cognac	N								
Savoy Corpse Reviver	Brandy or cognac	N								
Stinger	Brandy or cognac	N								
Tom and Jerry	Brandy or cognac	N								
Zombie	Brandy or cognac	N								
Batida	Cachaça	N								
Caju Amigo	Cachaça	N								
Leite de Onça	Cachaça	N								
Quentão	Cachaça	N								
Rabo-de-galo	Cachaça	N								
Royce	Cachaça	N								
Black Velvet	Champagne	N								
Buck's Fizz	Champagne	N								
20th Century	Gin	N								
Alexander	Gin	N								
Aviation	Gin	N								
Bijou	Gin	N								
Bloodhound	Gin	N								
French 75	Gin	N								
Gimlet	Gin	N								
Gin buck (a Buck variant)	Gin	N								
Gin and tonic	Gin	N								
Gin pahit	Gin	N								
Gin Sour	Gin	N								
Hanky-Panky	Gin	N								
The Last Word	Gin	N								
Lime Rickey	Gin	N								
Joker	Gin	N								
Lorraine	Gin	N								
Mickey Slim	Gin	N								
My Fair Lady	Gin	N								
Old Etonian	Gin	N								
Pall Mall	Gin	N								
Paradise	Gin	N								
Pegu	Gin	N								
Pimm's Cup	Gin	N								
Pink Gin	Gin	N								
Pink Lady	Gin	N								
Ramos Gin Fizz	Gin	N								
Royal Arrival	Gin	N								
Salty Dog	Gin	N								
Shirley Temple Black	Gin	N								
Vesper Martini	Gin	N								
White Lady or Delilah	Gin	N								
Wolfram	Gin	N								
Blue Hawaii	Rum	N								
Bumbo (also called a Bombo or Bumboo)	Rum	N								
Bushwacker	Rum	N								
Caribou Lou	Rum	N								
Corn N' Oil	Rum	N								
Culto A La Vida	Rum	N								
El Presidente	Rum	N								
Fish House Punch	Rum	N								
Flaming Dr Pepper	Rum	N								
Flaming Volcano	Rum	N								
Grog	Rum	N								
Gunfire	Rum	N								
Havana Cooler	Rum	N								
Hurricane	Rum	N								
Jagertee	Rum	N								
Macuá	Rum	N								
Painkiller	Rum	N								
Royal Bermuda Cocktail	Rum	N								
Rum Swizzle	Rum	N								
Staten Island Ferry	Rum	N								
Sundowner	Rum	N								
Ti Punch	Rum	N								
Tom and Jerry	Rum	N								
Zombie	Rum	N								
Ginza Mary	Sake	N								
Sake Bomb	Sake	N								
Tamagozake	Sake	N								
Bananarita	Tequila	N								
Bloody Aztec	Tequila	N								
Chimayó Cocktail	Tequila	N								
El Toro Loco Patron and Redbull	Tequila	N								
Matador	Tequila	N								
Paloma	Tequila	N								
Slammer Royale 	Tequila	N								
Tequila Slammer	Tequila	N								
Tequila Sour	Tequila	N								
Tonic And Tequila	Tequila	N								
Agent Orange	Vodka	N								
Batida (traditionally made with cachaça)	Vodka	N								
Bay Breeze	Vodka	N								
BLT cocktail	Vodka	N								
Blue Lagoon	Vodka	N								
Caesar	Vodka	N								
Caipivodka or Caipiroska	Vodka	N								
Cape Cod	Vodka	N								
Chi-Chi	Vodka	N								
Colombia	Vodka	N								
Fizzy apple cocktail	Vodka	N								
Flirtini	Vodka	N								
The Goldeneye	Vodka	N								
Greyhound	Vodka	N								
Harrogate Nights	Vodka	N								
Hi-fi	Vodka	N								
Kensington Court Special	Vodka	N								
Kremlin Colonel	Vodka	N								
Lime Rickey	Vodka	N								
Link Up	Vodka	N								
Moscow Mule	Vodka	N								
Mudslide	Vodka	N								
Orange Tundra	Vodka	N								
Paralyzer	Vodka	N								
Red Lotus	Vodka	N								
Rose Kennedy Cocktail	Vodka	N								
Salmiakki Koskenkorva	Vodka	N								
Vesper	Vodka	N								
Vodka Gimlet	Vodka	N								
Vodka McGovern	Vodka	N								
Vodka Sundowner	Vodka	N								
Vodka Sunrise	Vodka	N								
Woo Woo	Vodka	N								
Yorsh	Vodka	N								
Amber Moon	Whiskey	N								
Blue Blazer	Whiskey	N								
Bourbon Lancer	Whiskey	N								
Churchill	Whiskey	N								
Farnell	Whiskey	N								
Four Horsemen	Whiskey	N								
Jack and Coke	Whiskey	N								
Jungle Juice	Whiskey	N								
Lynchburg Lemonade	Whiskey	N								
Missouri Mule	Whiskey	N								
Nixon	Whiskey	N								
Sazerac	Whiskey	N								
Seven and Seven or 7 & 7	Whiskey	N								
Three Wise Men	Whiskey	N								
Whisky Mac	Whiskey	N								
Agua de Valencia	Wines	N								
Black Velvet	Wines	N								
Death in the Afternoon	Wines	N								
Flirtini	Wines	N								
Prince of Wales	Wines	N								
Sangria	Wines	N								
Ruby Dutchess	Wines	N								
Kalimotxo or Calimocho or Rioja Libre	Wines	N								
